title,description,link,category
SERVISNI TEHNIČAR HVAC/R OPREME  (M/Ž),"Opis posla: SAMOSTALNO VRŠENJE POSLOVA PUŠTANJA U POGON, PREVENTIVNOG I KOREKTIVNOG SERVISA KLIMATIZACIJSKIH I RASHLADNIH SUSTAVA (DIZALICE TOPLINE, RASHLADNICI VODE, RASHLADNE CENTRALE, VRV SUSTAVI<BR />, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 23.03.2016, Mjesto rada: ŠIBENIK, Općina: ŠIBENIK, Županija: ŠIBENSKO-KNINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74970153,Stručnjaci iz područja informatike i tehničkih znanosti
TEHNOLOG / TEHNOLOGINJA,"Opis posla: TEHNOLOG / TEHNOLOGINJA<BR />
- PRAĆENJE PROIZVODNJE, VOĐENJE DOKUMENTACIJE VEZANO ZA SIROVINE I SUSTAV RAZVOJA PROIZVODA, ORGANIZACIJA PROIZVODNJE U PEKARI I SL., Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 11.03.2016, Mjesto rada: SISAK, Općina: SISAK, Županija: SISAČKO-MOSLAVAČKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75067555,Stručnjaci iz područja informatike i tehničkih znanosti
VODOINSTALATER (M/Ž),"Opis posla: VODOINSTALATER, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 29.03.2016, Mjesto rada: ROGOZNICA, Općina: ROGOZNICA, Županija: ŠIBENSKO-KNINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74219406,Stručnjaci iz područja informatike i tehničkih znanosti
5. VIŠI/A STRUČNI/A SAVJETNIK/CA - PROGRAMER/CA U ODJELU INFROMACIJSKE TEHNOLOGIJE,"Opis posla: <P>5. VIŠI/A STRUČNI/A SAVJETNIK/CA - PROGRAMER/CA U ODJELU INFROMACIJSKE TEHNOLOGIJE</P>, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 12.03.2016, Mjesto rada: ZAGREB, Općina: GRAD ZAGREB, Županija: GRAD ZAGREB",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75199965,Stručnjaci iz područja informatike i tehničkih znanosti
9. SPECIJALIST/ICA - PROGAMER/KA U ODJELU INFROMACIJSKE TEHNOLOGIJE,"Opis posla: <P>9. SPECIJALIST/ICA - PROGAMER/KA U ODJELU INFROMACIJSKE TEHNOLOGIJE</P>, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 12.03.2016, Mjesto rada: ZAGREB, Općina: GRAD ZAGREB, Županija: GRAD ZAGREB",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75200252,Stručnjaci iz područja informatike i tehničkih znanosti
ADMINISTRATOR / ADMINISTRATORICA U SERVISU,"Opis posla: ADMINISTRATOR / ADMINISTRATORICA U SERVISU, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 11.03.2016, Mjesto rada: SPLIT, Općina: SPLIT, Županija: SPLITSKO-DALMATINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74258424,Stručnjaci iz područja informatike i tehničkih znanosti
ARHITEKT/ICA,"Opis posla: <BR />, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 10.03.2016, Mjesto rada: DUBROVNIK, Općina: DUBROVNIK, Županija: DUBROVAČKO-NERETVANSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75045783,Stručnjaci iz područja informatike i tehničkih znanosti
ARHITEKT/ICA SURADNIK/CA,"Opis posla: ARHITEKT/ICA SURADNIK/CA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 23.03.2016, Mjesto rada: ZAGREB, Općina: GRAD ZAGREB, Županija: GRAD ZAGREB",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74965683,Stručnjaci iz područja informatike i tehničkih znanosti
ARHITEKTONSKI PROJEKTANT/ICA,"Opis posla: <BR />, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 29.03.2016, Mjesto rada: DUBROVNIK, Općina: DUBROVNIK, Županija: DUBROVAČKO-NERETVANSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74039898,Stručnjaci iz područja informatike i tehničkih znanosti
ASISTENT / ASISTENTICA INFORMATIČARA U SERVISU I SKLADIŠTU,"Opis posla: ASISTENT / ASISTENTICA INFORMATIČARA U SERVISU I SKLADIŠTU, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 22.03.2016, Mjesto rada: SPLIT, Općina: SPLIT, Županija: SPLITSKO-DALMATINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75123533,Stručnjaci iz područja informatike i tehničkih znanosti
