sp_name,length,url,field_name,area_name,executor_name,overload_name,sp_city_name,active,coordinates,hzz
Pravo,5,www.pravst.hr/program.php?p=11,Pravo,Društvene znanosti,Pravni fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4438201,43.513997","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Arheologija,3,www.unizd.hr/arheologija/Studijskiprogrami/Preddiplomski/tabid/218/Default.aspx,Arheologija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Sociologija,2,www.ffst.hr/studiji/sociologija,Sociologija,Društvene znanosti,Filozofski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4330741,43.5148935","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Povijest,2,www.unicath.hr/povijest/diplomski-studij,Povijest,Humanističke znanosti,Hrvatsko katoličko sveučilište,Hrvatsko katoličko sveučilište,Zagreb,1,"15.944348,45.813942","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Kontroling,1,www.efzg.unizg.hr/default.aspx?id=12927,Ekonomija,Društvene znanosti,Ekonomski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.011736,45.816088","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Ekonomija,2,econ.zsem.hr,Ekonomija,Društvene znanosti,Zagrebačka škola ekonomije i managementa,Zagrebačka škola ekonomije i managementa,Zagreb,1,"15.9985587,45.8272746","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Športsko pravo,2,www.pravst.hr/program.php?p=13&s=51,Pravo,Društvene znanosti,Pravni fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4438201,43.513997","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Arhitektura,3,www.gradst.hr/Studiji/Arhitektura/Preddiplomskisveučilišnistudij/tabid/791/Default.aspx,Arhitektura i urbanizam,Tehničke znanosti,"Fakultet građevinarstva, arhitekture i geodezije Sveučilišta u Splitu",Sveučilište u Splitu,Split,1,"16.441861,43.512161",Stručnjaci iz područja informatike i tehničkih znanosti
Humanističke znanosti,3,www.ffst.hr/studiji/poslijediplomski,Interdisciplinarne humanističke znanosti,Humanističke znanosti,Filozofski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4330741,43.5148935","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Arhitektura i urbanizam,3,www.arhitekt.unizg.hr/nastava/DocLib/Nastava_pred.aspx,Arhitektura i urbanizam,Tehničke znanosti,Arhitektonski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9633996,45.8083975",Stručnjaci iz područja informatike i tehničkih znanosti
Zaštita i oporaba materijala,3,www.ktf.unist.hr/index.php/ss-2/zastita-i-oporaba-materijala,Bez polja,Bez područja,Kemijsko-tehnološki fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.441861,43.512161",""
Biljne znanosti,3,www.agr.unizg.hr/hr/article/8/biljne_znanosti,Poljoprivreda (agronomija),Biotehničke znanosti,Agronomski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.029817,45.8282075","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biologija,3,biologija.unios.hr/webbio/studiji,Biologija,Prirodne znanosti,Odjel za biologiju Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.6959121,45.560972","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biologija,3,www.pmf.unizg.hr/biol/preddiplomski_studij,Biologija,Prirodne znanosti,Prirodoslovno-matematički fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9698015,45.81057029999999","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biologija i kemija,3,www.pmfst.hr/index.php?option=com_2j_tabs&Itemid=324,Biologija,Prirodne znanosti,Prirodoslovno-matematički fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.441861,43.512161","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
